,,Sample,Sample ID,Sample Weight [mg],Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Nitrogen,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon,Carbon
DOT29_1_28_2021 9_00_18 PM_076,Colibrick - 1,,DOT29,3.004,2.281,0.044,2.936,16.505,10.1,12.351,247.472,4.664,2.9,1.5,0.46,247.472,0.118,3.94,Refer,Nitrogen,0.03,3.501,2.936,5.495,312.142,12.351,14.343,8231.114,299.35,97.1,98.5,0.43,8231.114,1.512,50.32,Refer,Carbon,1
DOT30_1_28_2021 9_05_52 PM_077,Colibrick - 1,,DOT30,3.525,2.281,1.809,3.185,17.949,14.088,14.177,85.958,3.831,0.9,1.1,0.34,85.958,0.041,1.17,Refer,Nitrogen,0.009,3.468,3.185,5.495,355.748,14.177,14.326,9578.499,341.553,99.1,98.9,0.45,9578.499,1.783,50.58,Refer,Carbon,1
CNR3_1_28_2021 9_11_26 PM_078,Colibrick - 1,,CNR3,3.472,2.284,1.532,2.723,14.553,12.975,13.377,32.466,1.324,0.3,0.4,0.37,32.466,0.016,0.45,Refer,Nitrogen,0.003,3.453,2.723,5.495,351.223,13.377,14.312,9436.635,337.6,99.7,99.6,0.44,9436.635,1.754,50.52,Refer,Carbon,1
CNR5_1_28_2021 9_17_01 PM_079,Colibrick - 1,,CNR5,2.819,2.277,1.836,3.031,16.778,13.935,14.053,66.341,2.799,0.9,1,0.35,66.341,0.032,1.13,Refer,Nitrogen,0.009,3.512,3.031,5.488,298.724,14.053,14.297,7678.908,284.623,99.1,99,0.43,7678.908,1.403,49.76,Refer,Carbon,1
CNR6_1_28_2021 9_22_35 PM_080,Colibrick - 1,,CNR6,3.283,2.285,0.46,3.216,17.659,14.197,14.464,90.163,3.285,1,1,0.36,90.163,0.043,1.32,Refer,Nitrogen,0.01,3.485,3.216,5.493,331.784,14.464,14.684,8725.548,317.295,99,99,0.44,8725.548,1.61,49.05,Refer,Carbon,1
CNR21_1_28_2021 9_28_09 PM_081,Colibrick - 1,,CNR21,2.715,2.287,1.448,3.215,17.592,14.711,14.762,68.699,2.857,0.9,1,0.35,68.699,0.033,1.22,Refer,Nitrogen,0.009,3.535,3.233,5.495,287.072,14.762,14.993,7341.652,272.279,99.1,99,0.43,7341.652,1.337,49.23,Refer,Carbon,1
CNR27_1_28_2021 9_33_43 PM_082,Colibrick - 1,,CNR27,3.086,2.296,1.913,3.185,15.875,14.803,14.829,24.443,1.064,0.3,0.3,0.34,24.443,0.012,0.39,Refer,Nitrogen,0.003,3.495,3.185,5.495,325.52,14.829,15.114,8488.117,310.653,99.7,99.7,0.43,8488.117,1.563,50.65,Refer,Carbon,1
CNR28_1_28_2021 9_39_17 PM_083,Colibrick - 1,,CNR28,3.899,2.285,1.733,3.007,19.911,14.801,14.911,111.87,5.062,1,1.3,0.33,111.87,0.054,1.38,Refer,Nitrogen,0.01,3.436,3.007,5.495,393.086,14.911,15.126,10947.304,378.138,99,98.7,0.46,10947.304,2.066,52.99,Refer,Carbon,1
QC_1_28_2021 9_44_52 PM_084,Colibrick - 1,,QC,1.998,2.259,1.809,3.192,33.526,14.535,14.445,428.204,19.02,5.3,6.2,0.34,428.204,0.205,10.24,Refer,Nitrogen,0.056,3.501,3.236,5.495,300.773,14.443,14.322,7666.282,286.344,94.7,93.8,0.42,7666.282,1.4,70.08,Refer,Carbon,1
CNR30_1_28_2021 9_50_26 PM_085,Colibrick - 1,,CNR30,3.636,2.292,1.468,3.188,17.675,14.202,14.264,81.99,3.443,0.9,1.1,0.34,81.99,0.039,1.08,Refer,Nitrogen,0.009,3.491,3.188,5.491,336.202,14.264,14.349,8733.026,321.926,99.1,98.9,0.43,8733.026,1.612,44.33,Refer,Carbon,1
QC_1_28_2021 9_56_00 PM_086,Colibrick - 1,,QC,2.571,2.263,0.444,3.227,39.847,14.264,14.559,575.303,25.39,5.6,6.8,0.34,575.303,0.275,10.69,Refer,Nitrogen,0.059,3.449,3.227,5.495,360.876,14.559,14.8,9694.511,346.293,94.4,93.2,0.45,9694.511,1.807,70.27,Refer,Carbon,1
